2024-02-28 13:50:35,219 INFO    MainThread:56001 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-28 13:50:35,220 INFO    MainThread:56001 [wandb_setup.py:_flush():76] Configure stats pid to 56001
2024-02-28 13:50:35,220 INFO    MainThread:56001 [wandb_setup.py:_flush():76] Loading settings from /Users/tanmay/.config/wandb/settings
2024-02-28 13:50:35,220 INFO    MainThread:56001 [wandb_setup.py:_flush():76] Loading settings from /Users/tanmay/Documents/GitHub/low-altitude-drone/wandb/settings
2024-02-28 13:50:35,220 INFO    MainThread:56001 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-28 13:50:35,220 INFO    MainThread:56001 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-28 13:50:35,220 INFO    MainThread:56001 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'resnet34_rice.py', 'program_abspath': '/Users/tanmay/Documents/GitHub/low-altitude-drone/resnet34_rice.py', 'program': '/Users/tanmay/Documents/GitHub/low-altitude-drone/resnet34_rice.py'}
2024-02-28 13:50:35,220 INFO    MainThread:56001 [wandb_init.py:_log_setup():526] Logging user logs to /Users/tanmay/Documents/GitHub/low-altitude-drone/wandb/run-20240228_135035-yupjistx/logs/debug.log
2024-02-28 13:50:35,220 INFO    MainThread:56001 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/tanmay/Documents/GitHub/low-altitude-drone/wandb/run-20240228_135035-yupjistx/logs/debug-internal.log
2024-02-28 13:50:35,220 INFO    MainThread:56001 [wandb_init.py:init():566] calling init triggers
2024-02-28 13:50:35,220 INFO    MainThread:56001 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-02-28 13:50:35,220 INFO    MainThread:56001 [wandb_init.py:init():616] starting backend
2024-02-28 13:50:35,220 INFO    MainThread:56001 [wandb_init.py:init():620] setting up manager
2024-02-28 13:50:35,224 INFO    MainThread:56001 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-02-28 13:50:35,226 INFO    MainThread:56001 [wandb_init.py:init():628] backend started and connected
2024-02-28 13:50:35,230 INFO    MainThread:56001 [wandb_init.py:init():720] updated telemetry
2024-02-28 13:50:35,255 INFO    MainThread:56001 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-28 13:50:36,042 INFO    MainThread:56001 [wandb_run.py:_on_init():2262] communicating current version
2024-02-28 13:50:36,158 INFO    MainThread:56001 [wandb_run.py:_on_init():2271] got version response 
2024-02-28 13:50:36,158 INFO    MainThread:56001 [wandb_init.py:init():804] starting run threads in backend
2024-02-28 13:50:36,231 INFO    MainThread:56001 [wandb_run.py:_console_start():2241] atexit reg
2024-02-28 13:50:36,231 INFO    MainThread:56001 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-28 13:50:36,231 INFO    MainThread:56001 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-28 13:50:36,231 INFO    MainThread:56001 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-28 13:50:36,231 INFO    MainThread:56001 [wandb_init.py:init():847] run started, returning control to user process
2024-02-28 13:50:36,679 INFO    MainThread:56001 [wandb_watch.py:watch():51] Watching
2024-02-28 13:55:10,182 WARNING MsgRouterThr:56001 [router.py:message_loop():77] message_loop has been closed
